"","V1"
"Accuracy",0.738265712012729
"Kappa",-0.00638553132049556
"AccuracyLower",0.713028170256722
"AccuracyUpper",0.762383686989507
"AccuracyNull",0.747812251392204
"AccuracyPValue",0.79208959273121
"McnemarPValue",7.23006511968361e-60
"Sensitivity",0.982978723404255
"Specificity",0.0126182965299685
"Pos Pred Value",0.746968472109943
"Neg Pred Value",0.2
"Precision",0.746968472109943
"Recall",0.982978723404255
"F1",0.84887459807074
"Prevalence",0.747812251392204
"Detection Rate",0.73508353221957
"Detection Prevalence",0.984089101034208
"Balanced Accuracy",0.497798509967112
