"","V1"
"Accuracy",0.80127186009539
"Kappa",0.045309113427599
"AccuracyLower",0.77813035693274
"AccuracyUpper",0.822995888158671
"AccuracyNull",0.824324324324324
"AccuracyPValue",0.984509577657398
"McnemarPValue",3.09644041501395e-23
"Sensitivity",0.955641272902604
"Specificity",0.0769230769230769
"Pos Pred Value",0.82928870292887
"Neg Pred Value",0.26984126984127
"Precision",0.82928870292887
"Recall",0.955641272902604
"F1",0.887992831541219
"Prevalence",0.824324324324324
"Detection Rate",0.787758346581876
"Detection Prevalence",0.949920508744038
"Balanced Accuracy",0.51628217491284
