"","V1"
"Accuracy",0.802861685214626
"Kappa",0.00358345097187545
"AccuracyLower",0.779782843865997
"AccuracyUpper",0.824515472759207
"AccuracyNull",0.824324324324324
"AccuracyPValue",0.977982580353862
"McnemarPValue",2.6082236800451e-29
"Sensitivity",0.966248794599807
"Specificity",0.0361990950226244
"Pos Pred Value",0.824691358024691
"Neg Pred Value",0.186046511627907
"Precision",0.824691358024691
"Recall",0.966248794599807
"F1",0.8898756660746
"Prevalence",0.824324324324324
"Detection Rate",0.796502384737679
"Detection Prevalence",0.965818759936407
"Balanced Accuracy",0.501223944811216
