"","V1"
"Accuracy",0.506359300476948
"Kappa",0.0041607073202444
"AccuracyLower",0.478346861867139
"AccuracyUpper",0.53434195709057
"AccuracyNull",0.519872813990461
"AccuracyPValue",0.838322018495556
"McnemarPValue",1.01408593812596e-05
"Sensitivity",0.610091743119266
"Specificity",0.394039735099338
"Pos Pred Value",0.52156862745098
"Neg Pred Value",0.482758620689655
"Precision",0.52156862745098
"Recall",0.610091743119266
"F1",0.562367864693446
"Prevalence",0.519872813990461
"Detection Rate",0.317170111287758
"Detection Prevalence",0.608108108108108
"Balanced Accuracy",0.502065739109302
