"","V1"
"Accuracy",0.513513513513513
"Kappa",-0.00556925520354419
"AccuracyLower",0.4854921649656
"AccuracyUpper",0.541471574988036
"AccuracyNull",0.519872813990461
"AccuracyPValue",0.684366304071176
"McnemarPValue",2.85348709178574e-86
"Sensitivity",0.90519877675841
"Specificity",0.0894039735099338
"Pos Pred Value",0.518388791593695
"Neg Pred Value",0.46551724137931
"Precision",0.518388791593695
"Recall",0.90519877675841
"F1",0.65924276169265
"Prevalence",0.519872813990461
"Detection Rate",0.470588235294118
"Detection Prevalence",0.907790143084261
"Balanced Accuracy",0.497301375134172
