"","V1"
"Accuracy",0.519077901430843
"Kappa",0.0046973774719427
"AccuracyLower",0.491053529801404
"AccuracyUpper",0.547012926006201
"AccuracyNull",0.519872813990461
"AccuracyPValue",0.533875333376888
"McnemarPValue",4.90833999632618e-94
"Sensitivity",0.925076452599388
"Specificity",0.0794701986754967
"Pos Pred Value",0.521102497846684
"Neg Pred Value",0.494845360824742
"Precision",0.521102497846684
"Recall",0.925076452599388
"F1",0.666666666666667
"Prevalence",0.519872813990461
"Detection Rate",0.480922098569157
"Detection Prevalence",0.922893481717011
"Balanced Accuracy",0.502273325637443
