"","V1"
"Accuracy",0.534181240063593
"Kappa",0.0509107388391363
"AccuracyLower",0.506165929390086
"AccuracyUpper",0.562036465835968
"AccuracyNull",0.519872813990461
"AccuracyPValue",0.161682535849569
"McnemarPValue",6.86476664269766e-28
"Sensitivity",0.755351681957186
"Specificity",0.294701986754967
"Pos Pred Value",0.53695652173913
"Neg Pred Value",0.526627218934911
"Precision",0.53695652173913
"Recall",0.755351681957186
"F1",0.627700127064803
"Prevalence",0.519872813990461
"Detection Rate",0.39268680445151
"Detection Prevalence",0.731319554848967
"Balanced Accuracy",0.525026834356077
