"","V1"
"Accuracy",0.872712808273667
"Kappa",0.0360059818244567
"AccuracyLower",0.853015319118278
"AccuracyUpper",0.890647392500373
"AccuracyNull",0.899761336515513
"AccuracyPValue",0.999138473268156
"McnemarPValue",3.04283260326617e-09
"Sensitivity",0.962864721485411
"Specificity",0.0634920634920635
"Pos Pred Value",0.902236951118476
"Neg Pred Value",0.16
"Precision",0.902236951118476
"Recall",0.962864721485411
"F1",0.931565440547476
"Prevalence",0.899761336515513
"Detection Rate",0.866348448687351
"Detection Prevalence",0.960222752585521
"Balanced Accuracy",0.513178392488737
