"","V1"
"Accuracy",0.861575178997613
"Kappa",0.0266741429029162
"AccuracyLower",0.841240374546288
"AccuracyUpper",0.880201377139251
"AccuracyNull",0.899761336515513
"AccuracyPValue",0.999992968278584
"McnemarPValue",7.72097590346048e-06
"Sensitivity",0.949602122015915
"Specificity",0.0714285714285714
"Pos Pred Value",0.90176322418136
"Neg Pred Value",0.136363636363636
"Precision",0.90176322418136
"Recall",0.949602122015915
"F1",0.925064599483204
"Prevalence",0.899761336515513
"Detection Rate",0.854415274463007
"Detection Prevalence",0.947494033412888
"Balanced Accuracy",0.510515346722243
