"","V1"
"Accuracy",0.871917263325378
"Kappa",0.0527949002372963
"AccuracyLower",0.852172785546061
"AccuracyUpper",0.889902725678777
"AccuracyNull",0.899761336515513
"AccuracyPValue",0.999362536112522
"McnemarPValue",3.45281258701816e-08
"Sensitivity",0.960212201591512
"Specificity",0.0793650793650794
"Pos Pred Value",0.903494176372712
"Neg Pred Value",0.181818181818182
"Precision",0.903494176372712
"Recall",0.960212201591512
"F1",0.930990141448778
"Prevalence",0.899761336515513
"Detection Rate",0.863961813842482
"Detection Prevalence",0.956245027844073
"Balanced Accuracy",0.519788640478296
