"","V1"
"Accuracy",0.714285714285714
"Kappa",0.327998455612653
"AccuracyLower",0.688239740161847
"AccuracyUpper",0.739310612140602
"AccuracyNull",0.725585149313963
"AccuracyPValue",0.822230506414828
"McnemarPValue",0.000104496744275814
"Sensitivity",0.588235294117647
"Specificity",0.761957730812013
"Pos Pred Value",0.483091787439614
"Neg Pred Value",0.83030303030303
"Precision",0.483091787439614
"Recall",0.588235294117647
"F1",0.530503978779841
"Prevalence",0.274414850686037
"Detection Rate",0.161420500403551
"Detection Prevalence",0.334140435835351
"Balanced Accuracy",0.67509651246483
