"","V1"
"Accuracy",0.728006456820016
"Kappa",0.302307745006792
"AccuracyLower",0.70230363298989
"AccuracyUpper",0.752622487037714
"AccuracyNull",0.725585149313963
"AccuracyPValue",0.438613304080777
"McnemarPValue",0.230754965187378
"Sensitivity",0.470588235294118
"Specificity",0.825361512791991
"Pos Pred Value",0.504731861198738
"Neg Pred Value",0.804772234273319
"Precision",0.504731861198738
"Recall",0.470588235294118
"F1",0.487062404870624
"Prevalence",0.274414850686037
"Detection Rate",0.129136400322841
"Detection Prevalence",0.255851493139629
"Balanced Accuracy",0.647974874043054
